Classes,Ratio R2,Jawline Width D5,Ratio R3,angle A1,Forehead width D2,face length D3,chin_width D6,angle A2,Ratio R1,Ratio R8,Ratio R7,Ratio R3,Ratio R4,Ratio R5,Ratio R6,Ratio R9,Ratio R10,cheekbone width D1,jawline length D4,chin shape D7,angle A3
heart,0.794898651,106,0.746719241,58.28911531,121.2,162.31,59.03,47.11595279,0.939389242,0.874587459,0.457525965,0.746719241,1.217169811,0.556886792,1.095375233,0.61,0.525495511,129.02,64.66,31.02,70.33219028
heart,0.791040796,149.16,0.686472314,68.54065081,154.47,225.02,81.3,56.98612737,0.867808989,0.965624393,0.456741573,0.686472314,1.193349423,0.545052293,1.221648216,0.665862161,0.530135301,178,99.32,43.1,71.91655462
heart,0.78781743,76.3,0.71416519,61.34893863,84.65,118.53,41.59,50.85746162,0.90651103,0.901358535,0.445384451,0.71416519,1.223853211,0.54508519,1.158211108,0.631323722,0.542438086,93.38,48.17,22.56,70.67187085
heart,0.750943543,164,0.672503015,66.05556177,172.84,257.01,92.01,55.54663503,0.895544041,0.948854432,0.476735751,0.672503015,1.176829268,0.561036585,1.088142593,0.610487805,0.521682426,193,100.12,48,73.30075577
heart,0.765384615,170.84,0.70071644,66.27842894,185.83,265.2,95.52,54.02296554,0.915508917,0.919334876,0.470588235,0.70071644,1.188129244,0.559119644,1.073597152,0.600269258,0.519786432,202.98,102.55,49.65,72.84217209
heart,0.788637677,383.58,0.701441306,61.5457037,400.53,571.01,212.53,50.46498177,0.88943418,0.957681073,0.471953278,0.701441306,1.173992388,0.554069555,1.055474521,0.584806299,0.518609138,450.32,224.32,110.22,74.7672037
heart,0.761272963,275.11,0.669210429,53.89055839,288.51,431.12,152.24,45.06731243,0.879067642,0.95355447,0.463863498,0.669210429,1.192977355,0.553378649,1.054584866,0.583584748,0.519442985,328.2,160.55,79.08,72.42549376
heart,0.715316866,92.14,0.637904775,56.12981792,96.33,151.01,52.15,44.96638417,0.8917793,0.956503685,0.482780966,0.637904775,1.172346429,0.565986542,1.071332694,0.606359887,0.538255034,108.02,55.87,28.07,74.90284484
heart,0.842397703,351.51,0.763989011,68.79370941,369.87,484.13,197.31,57.20172717,0.906922002,0.950360938,0.483804526,0.763989011,1.160223038,0.561321157,1.068369571,0.599698444,0.517865288,407.83,210.8,102.18,75.75747283
heart,0.732284373,378.83,0.638833512,65.58528515,387.74,606.95,214.39,53.58795345,0.872384467,0.977020684,0.482360617,0.638833512,1.173243935,0.565926669,1.126358506,0.637436317,0.52810299,444.46,241.48,113.22,73.68040821
heart,0.766324539,103.1,0.685410239,60.02850507,108.85,158.81,59.03,49.41846479,0.89441249,0.947175011,0.485045193,0.685410239,1.180407371,0.572550921,1.006437405,0.576236663,0.518211079,121.7,59.41,30.59,76.0144642
heart,0.675603105,139,0.613257814,60.87015963,146.17,238.35,83.02,45.86441857,0.907719059,0.950947527,0.515556108,0.613257814,1.158489209,0.597266187,1.101421344,0.657841727,0.542158516,161.03,91.44,45.01,74.95408145
heart,0.800696917,181.4,0.734376184,63.13905776,193.89,264.02,101.24,51.25039972,0.917171239,0.935582031,0.478902554,0.734376184,1.165380375,0.558103638,1.073785065,0.599283352,0.524990122,211.4,108.71,53.15,73.94557709
heart,0.824105592,201.02,0.726780132,51.41267214,209.24,287.9,111.07,39.85015153,0.881901711,0.960714968,0.468136222,0.726780132,1.180280569,0.552532086,1.018906996,0.562978808,0.531196543,237.26,113.17,59,72.58586482
heart,0.821700825,223.02,0.758372907,68.69589868,242.74,320.08,124.06,56.89035983,0.922930687,0.918760814,0.471693092,0.758372907,1.179311273,0.55627298,1.142511688,0.635548381,0.532242463,263.01,141.74,66.03,73.95331052
heart,0.797396056,296.45,0.709833375,58.1112732,315.67,444.71,160.25,47.00259171,0.890189222,0.939113631,0.45190491,0.709833375,1.196188227,0.540563333,1.08524181,0.586641929,0.523307332,354.61,173.91,83.86,72.68477027
heart,0.722808219,178.04,0.698561644,65.29756977,203.98,292,102.02,52.0789216,0.966455036,0.87283067,0.483369658,0.698561644,1.185463941,0.573017299,1.068613997,0.612334307,0.519603999,211.06,109.02,53.01,74.84304876
heart,0.725625036,210,0.659333294,64.38112515,226.27,343.18,118,51.74087209,0.908641876,0.928094754,0.473857521,0.659333294,1.185809524,0.561904762,1.084745763,0.60952381,0.517033898,249.02,128,61.01,74.39622974
heart,0.759981864,229.22,0.697384454,65.95441249,246.1,352.89,128.14,54.06215626,0.917633021,0.931409996,0.477795593,0.697384454,1.170011343,0.559026263,1.093569533,0.61133409,0.515998127,268.19,140.13,66.12,74.68972243
heart,0.743753748,344.25,0.661984627,65.66043381,364.31,550.33,190.21,55.21923378,0.89005888,0.944937004,0.4647089,0.661984627,1.188990559,0.552534495,1.089322328,0.601888163,0.52142369,409.31,207.2,99.18,73.33896952
heart,0.790082205,226.22,0.647081436,68.77886398,218.83,338.18,127.02,53.27143794,0.819005202,1.033770507,0.475392043,0.647081436,1.181106887,0.561488816,1.047551567,0.588188489,0.51968194,267.19,133.06,66.01,74.98009164
heart,0.774172741,101.04,0.724311424,59.83658377,112.29,155.03,56.04,49.66551377,0.935594068,0.899812984,0.46692218,0.724311424,1.187846397,0.554631829,1.128658101,0.625989707,0.535688794,120.02,63.25,30.02,72.85595249
heart,0.695549076,363,0.615070337,66.51662625,383.89,624.14,211.04,52.06611771,0.884294665,0.94558337,0.486132866,0.615070337,1.195922865,0.58137741,1.178876042,0.685371901,0.535443518,434.12,248.79,113,73.69249234
heart,0.752182642,137.09,0.672720482,62.81664299,144.09,214.19,76.06,51.90172373,0.894357892,0.951419252,0.472099808,0.672720482,1.175213363,0.554818003,1.149355772,0.637683274,0.526557981,161.11,87.42,40.05,76.54144782
heart,0.757630589,134.09,0.694633589,63.36454651,145.88,210.01,76.11,50.91665229,0.916849978,0.919180148,0.478348312,0.694633589,1.186591096,0.567603848,1.091840757,0.619733015,0.526212061,159.11,83.1,40.05,74.74702745
heart,0.774882629,139.06,0.70685446,64.65382406,150.56,213,78.01,51.65442505,0.912208422,0.923618491,0.472644653,0.70685446,1.186897742,0.560980872,1.095116011,0.614339134,0.525701833,165.05,85.43,41.01,74.57503994
heart,0.770685397,85.71,0.708397654,62.84335338,91.78,129.56,48.26,51.07844413,0.919178768,0.933863587,0.483324987,0.708397654,1.164974915,0.563061486,1.09904683,0.618830942,0.521757149,99.85,53.04,25.18,74.0921448
heart,0.751704455,123.15,0.712488769,68.15913967,134.81,189.21,71.11,55.85641335,0.947830978,0.9135079,0.499964846,0.712488769,1.154933009,0.577425903,1.05470398,0.609013398,0.521023766,142.23,75,37.05,74.57500867
heart,0.783165678,147,0.692115897,54.37952686,161,232.62,83.05,40.80909247,0.883741355,0.913043478,0.455867823,0.692115897,1.239319728,0.564965986,1.038771824,0.586870748,0.517880795,182.18,86.27,43.01,71.39215651
heart,0.788521966,341.01,0.734590225,64.31412974,371.71,506.01,192.01,52.3563574,0.93160401,0.917408733,0.48122807,0.734590225,1.170053664,0.563062667,1.099994792,0.619366001,0.536430394,399,211.21,103,75.70967492
heart,0.796928276,639.94,0.726600362,65.74366398,718.15,988.37,349.04,53.57863411,0.911751263,0.891095175,0.443135363,0.726600362,1.230834141,0.545426134,1.221722439,0.666359346,0.52595691,787.66,426.43,183.58,69.55755371
heart,0.783153805,371.23,0.706339396,60.05791051,400,566.3,209.15,47.91363246,0.901916573,0.928075,0.471589628,0.706339396,1.194677154,0.563397355,1.106382979,0.623333244,0.526703323,443.5,231.4,110.16,71.98846217
heart,0.778443666,141.23,0.71703854,70.42638463,155.54,216.92,79.06,57.79742787,0.921118086,0.907997943,0.468198508,0.71703854,1.19563832,0.559796077,1.163799646,0.651490477,0.519225904,168.86,92.01,41.05,71.56932443
heart,0.757256577,130.06,0.725560625,69.07042323,149.48,206.02,76.11,54.01147679,0.958143709,0.870082954,0.487853343,0.725560625,1.199523297,0.58519145,1.14098016,0.667691835,0.525686506,156.01,86.84,40.01,73.08439681
heart,0.801015654,646.13,0.757290194,67.33916665,723.25,955.05,361.2,55.40360697,0.945412478,0.893370204,0.472150691,0.757290194,1.183987742,0.559020631,1.148726467,0.642161794,0.526218162,765.01,414.92,190.07,73.16183101
heart,0.78027437,171.06,0.727005235,62.62882071,190.25,261.69,95.63,50.69113806,0.931730251,0.89913272,0.468338312,0.727005235,1.193674734,0.55904361,1.109484471,0.620250205,0.505803618,204.19,106.1,48.37,71.50672927
heart,0.793938442,212.85,0.728894472,59.67380724,232.08,318.4,118.71,49.11235496,0.918074291,0.917140641,0.469599272,0.728894472,1.187643881,0.557716702,1.10816275,0.618040874,0.533990397,252.79,131.55,63.39,73.48609505
heart,0.804531102,222.27,0.742266777,68.4002114,242.12,326.19,126.1,55.06266232,0.922607934,0.91801586,0.480509088,0.742266777,1.180681154,0.567328024,1.070578906,0.607369416,0.523949247,262.43,135,66.07,72.88258878
heart,0.768675113,112.64,0.719887634,59.87362935,125.57,174.43,62.29,47.89460741,0.93653043,0.897029545,0.464573389,0.719887634,1.190340909,0.55300071,1.104511157,0.610795455,0.533633007,134.08,68.8,33.24,74.29530685
heart,0.81232539,82.87,0.732210353,59.26232485,89.11,121.7,46.69,48.64266958,0.901375683,0.929974189,0.472284038,0.732210353,1.192952818,0.563412574,1.046048404,0.589356824,0.500107089,98.86,48.84,23.35,73.35337902
heart,0.72919333,335.48,0.670209411,67.93636323,361.33,539.13,195.43,54.68980561,0.919110727,0.92845875,0.497112914,0.670209411,1.171843329,0.582538452,1.179348104,0.687015619,0.533029729,393.13,230.48,104.17,75.04036052
heart,0.767520393,144.01,0.739321112,64.18879716,168.58,228.02,83.01,50.62774476,0.963259242,0.854253174,0.474315753,0.739321112,1.215262829,0.576418304,1.102879171,0.635719742,0.530177087,175.01,91.55,44.01,72.75788104
heart,0.748031496,165.01,0.71023622,65.69892898,180.4,254,95,52.34282425,0.949473684,0.914689579,0.5,0.71023622,1.151445367,0.575722683,1.073684211,0.618144355,0.526315789,190,102,50,77.52698784
heart,0.774353566,171.42,0.738887587,63.59932394,189.17,256.02,100.24,48.51354207,0.954199243,0.906169054,0.505624212,0.738887587,1.156516159,0.584762571,0.995810056,0.582312449,0.52952913,198.25,99.82,53.08,76.22320335
heart,0.774411974,112.07,0.722618199,68.5450384,121.66,168.36,64.01,57.32978353,0.933118576,0.921173763,0.490949532,0.722618199,1.16338003,0.571160882,1.18418997,0.676362987,0.54694579,130.38,75.8,35.01,73.40082592
heart,0.722913679,105.02,0.68827072,59.03279108,120,174.35,59.01,46.91020701,0.952078705,0.875166667,0.468184703,0.68827072,1.200152352,0.561892973,1.119640739,0.629118263,0.525673615,126.04,66.07,31.02,72.92897871
heart,0.795225734,591.47,0.72251693,53.00076673,640.15,886,323.21,44.98783349,0.908568347,0.923955323,0.458733696,0.72251693,1.19121849,0.54645206,1.06983076,0.584611223,0.516815693,704.57,345.78,167.04,71.34862651
heart,0.759644133,88.14,0.693721286,66.45478725,95.13,137.13,50.04,55.81682953,0.913218777,0.926521602,0.480368628,0.693721286,1.181869753,0.567733152,1.103717026,0.626616746,0.519984013,104.17,55.23,26.02,74.20837367
heart,0.786963688,247.08,0.702243607,63.28331638,264.17,376.18,138.72,51.23689042,0.892345629,0.93530681,0.468585326,0.702243607,1.198154444,0.561437591,1.17856113,0.661688522,0.536764706,296.04,163.49,74.46,71.84241447
heart,0.809052059,240.88,0.733183483,53.76044028,264.21,360.36,130.7,45.36316298,0.906225347,0.911699027,0.448293603,0.733183483,1.210353703,0.542593823,1.136954858,0.616904683,0.519510329,291.55,148.6,67.9,69.87800541
heart,0.799875075,606.04,0.750061347,65.75638961,672.46,896.54,344.02,52.51692971,0.937723115,0.901228326,0.479724453,0.750061347,1.183288232,0.5676523,1.071187722,0.608062174,0.517440846,717.12,368.51,178.01,73.73819461
heart,0.733288349,278.34,0.683558255,64.67909789,303.91,444.6,160.8,51.69677105,0.932182075,0.915863249,0.493221275,0.683558255,1.171301286,0.577710714,1.054104478,0.60896745,0.522450249,326.02,169.5,84.01,75.90243286
heart,0.740003018,208.69,0.65945375,64.17290139,218.51,331.35,116.5,52.82170738,0.891150082,0.955059265,0.475122349,0.65945375,1.174948488,0.558244286,1.093476395,0.610426949,0.528841202,245.2,127.39,61.61,74.06388268
heart,0.794113138,217.01,0.761275487,64.01526637,248.29,326.15,122,49.98859134,0.958648649,0.874018285,0.471042471,0.761275487,1.193493387,0.562186074,1.08557377,0.610294456,0.524672131,259,132.44,64.01,73.37924309
heart,0.783173311,307.03,0.719569931,64.84620009,325.26,452.02,171.01,54.09817509,0.918787605,0.94395253,0.48306545,0.719569931,1.153014363,0.556981402,1.090345594,0.607302218,0.526285013,354.01,186.46,90,77.17636713
heart,0.784738562,204.24,0.718660131,59.95374339,219.91,306,115.28,48.7132533,0.915795611,0.928743577,0.480073294,0.718660131,1.175724638,0.564433999,1.082061069,0.610752056,0.521079112,240.13,124.74,60.07,74.49030505
heart,0.791599319,308.25,0.668864895,52.93187012,310.36,464.01,175.14,37.66110861,0.844953854,0.993201443,0.476817947,0.668864895,1.191597729,0.568175182,0.932967911,0.530089213,0.520954665,367.31,163.4,91.24,71.61069505
heart,0.72646894,484.41,0.6912679,63.74096502,542.59,784.92,275.22,52.79030889,0.951545018,0.892773549,0.482655817,0.6912679,1.177143329,0.568155075,1.16303321,0.660783221,0.530811714,570.22,320.09,146.09,72.84301708
heart,0.78450501,325.01,0.681360893,67.50904103,335.25,492.03,185.07,52.77771972,0.868523316,0.96945563,0.479455959,0.681360893,1.187655764,0.569428633,1.077430162,0.613519584,0.524396174,386,199.4,97.05,73.08557716
heart,0.726253239,275.03,0.684031811,61.86905207,306.2,447.64,158.03,48.05888999,0.941864042,0.898203788,0.486096586,0.684031811,1.182052867,0.574591863,1.089033728,0.625749918,0.537999114,325.1,172.1,85.02,75.20104797
heart,0.784712131,534.58,0.718106429,61.76255446,573.25,798.28,299.6,50.38807551,0.915120845,0.932542521,0.478273363,0.718106429,1.171798421,0.560439972,1.081074766,0.605877511,0.528638184,626.42,323.89,158.38,76.18335767
heart,0.793133227,254.16,0.739826761,64.59345358,282.71,382.13,144.12,50.24253533,0.932790022,0.899013123,0.475518015,0.739826761,1.19247718,0.567044381,1.05217874,0.596632043,0.534970858,303.08,151.64,77.1,75.15340989
heart,0.796720031,170.14,0.736118704,63.49380425,188.52,256.1,97.13,49.74612131,0.923936483,0.902503713,0.476034111,0.736118704,1.199247678,0.570882802,1.049933079,0.599388739,0.515700607,204.04,101.98,50.09,74.84045382
heart,0.766128223,188.02,0.739440153,62.9435157,221.1,299.01,103,52.09308045,0.965165008,0.850384441,0.449624585,0.739440153,1.218381023,0.547814062,1.175145631,0.643761302,0.524271845,229.08,121.04,54,71.19861672
heart,0.785601158,339.59,0.751872201,65.06908957,384.53,511.43,196.43,51.54747965,0.957066056,0.883130055,0.488899398,0.751872201,1.183132601,0.578432816,1.082828489,0.626343532,0.525581632,401.78,212.7,103.24,73.73989556
heart,0.788982939,601.02,0.722898206,63.40632569,655.9,907.32,336.86,51.80988491,0.916240606,0.916328709,0.470566871,0.722898206,1.191075172,0.560480516,1.091996675,0.61204286,0.529596865,715.86,367.85,178.4,72.28551418
heart,0.731990816,131.06,0.679852674,66.8281395,142.13,209.06,76.11,52.02247417,0.928772136,0.922113558,0.49735346,0.679852674,1.167633145,0.580726385,1.145710156,0.665344117,0.540139272,153.03,87.2,41.11,75.53049177
heart,0.725768322,60.42,0.631102888,68.56244054,61.4,97.29,33.96,56.28456165,0.869565217,0.984039088,0.480951707,0.631102888,1.168652764,0.562065541,1.137514723,0.639357829,0.514134276,70.61,38.63,17.46,74.3675027
heart,0.769517544,117.04,0.68064693,73.3958484,124.15,182.4,65,61.12764347,0.884511257,0.942730568,0.463094899,0.68064693,1.19924812,0.555365687,1.169384615,0.64943609,0.523076923,140.36,76.01,34,71.87813975
heart,0.737941842,109.07,0.650182831,63.68387896,112.02,172.29,63.07,50.28824394,0.881075979,0.973665417,0.496067327,0.650182831,1.165673421,0.578252498,1.122562232,0.649124416,0.524179483,127.14,70.8,33.06,74.26992716
heart,0.782600656,142.06,0.692368141,69.47718417,149.78,216.33,78.01,57.56897768,0.884701713,0.948457738,0.460779681,0.692368141,1.191749965,0.549134169,1.166773491,0.640715191,0.512882964,169.3,91.02,40.01,72.29094569
heart,0.74244375,103,0.692784011,70.9468355,113,163.11,60,57.68973083,0.93311313,0.911504425,0.495458299,0.692784011,1.175728155,0.582524272,1.091,0.635533981,0.517,121.1,65.46,31.02,74.75875045
heart,0.724283305,47.1,0.518067935,80.57355492,43.01,83.02,26.17,68.54295882,0.715283552,1.095094164,0.435223682,0.518067935,1.276645435,0.555626327,1.50745128,0.837579618,0.534963699,60.13,39.45,14,66.89587895
heart,0.758663586,73.33,0.701972632,69.76985156,79,112.54,42.19,57.26942215,0.92527524,0.928227848,0.494143828,0.701972632,1.164325651,0.575344334,1.091964921,0.62825583,0.523583788,85.38,46.07,22.09,75.39359891
heart,0.765570015,384.88,0.654239426,68.50016621,394.14,602.44,211.85,57.2327959,0.854578175,0.97650581,0.459335227,0.654239426,1.198321555,0.550431303,1.206230824,0.663947204,0.530375266,461.21,255.54,112.36,71.90733751
heart,0.772553491,196.24,0.711382386,67.89273575,212.12,298.18,109.9,55.24155471,0.920819587,0.925136715,0.477079354,0.711382386,1.173868732,0.560028536,1.111191993,0.622299225,0.522565969,230.36,122.12,57.43,74.25581662
heart,0.82387505,132.19,0.746584974,56.48113449,148.66,199.12,71.18,46.16523133,0.906187138,0.889210278,0.433892106,0.746584974,1.241016718,0.538467358,1.074599607,0.578636811,0.507445912,164.05,76.49,36.12,68.85598237
heart,0.768227216,106.04,0.705805243,64.38661843,113.07,160.2,59.03,53.68428532,0.918745429,0.937826125,0.47964573,0.705805243,1.160599774,0.556676726,1.137048958,0.632968691,0.525495511,123.07,67.12,31.02,74.50859631
heart,0.755334508,454.58,0.663373025,46.32329757,500.84,754.99,246.03,36.50359477,0.878250653,0.907635173,0.431427219,0.663373025,1.254498658,0.541224867,1.144413283,0.619384927,0.533024428,570.27,281.56,131.14,68.36391456
heart,0.75723349,267,0.699822167,61.09773706,291.21,416.12,151.05,49.51157155,0.924182799,0.916864119,0.479371628,0.699822167,1.180149813,0.565730337,1.049453823,0.593707865,0.523204237,315.1,158.52,79.03,76.38633002
heart,0.76594306,182.46,0.689501779,59.94746155,193.75,281,104.48,47.78969305,0.900199786,0.941729032,0.485434187,0.689501779,1.179601008,0.572618656,1.050057427,0.601282473,0.539050536,215.23,109.71,56.32,72.08188053
heart,0.770128154,111,0.675363485,60.60166153,117.52,174.01,61,49.83378138,0.876949481,0.944520082,0.455189911,0.675363485,1.207297297,0.54954955,1.211147541,0.665585586,0.524590164,134.01,73.88,32,70.70995378
heart,0.775592885,331.84,0.718379447,65.15637412,363.5,506,189.08,52.18539547,0.926232641,0.912902338,0.481793859,0.718379447,1.182648264,0.569792671,1.120425217,0.638410077,0.527924688,392.45,211.85,99.82,72.47951012
heart,0.75577864,153.12,0.686603678,64.3546638,162.78,237.08,85.05,52.97001804,0.908471928,0.9406561,0.474662351,0.686603678,1.170193312,0.555446708,1.171546149,0.650731452,0.529570841,179.18,99.64,45.04,73.68021257
heart,0.785413941,141.43,0.74032891,52.60234959,158.46,214.04,79.4,41.11361886,0.942597109,0.892528083,0.472309797,0.74032891,1.188644559,0.561408471,1.087783375,0.610690801,0.54395466,168.11,86.37,43.19,74.86269845
heart,0.768639508,104,0.694145529,69.36245302,108.37,156.12,59,56.67493164,0.903083333,0.959675187,0.491666667,0.694145529,1.153846154,0.567307692,1.049322034,0.595288462,0.525423729,120,61.91,31,73.77820954
heart,0.757350059,95.13,0.714621717,56.15227939,109.38,153.06,53.37,44.01997594,0.943581781,0.869720241,0.460403727,0.714621717,1.218543046,0.56102176,1.083005434,0.607589614,0.51826869,115.92,57.8,27.66,70.4001776
heart,0.768465381,159.01,0.719499608,72.19559458,174.27,242.21,93.01,57.74209291,0.936281094,0.912434728,0.499704508,0.719499608,1.170555311,0.584931765,1.097516396,0.641972203,0.526825073,186.13,102.08,49,74.85010759
heart,0.779324723,271.02,0.684862572,63.2708955,285.8,417.31,147,53.19472191,0.878789742,0.948285514,0.452001722,0.684862572,1.199985241,0.542395395,1.243061224,0.674230684,0.523877551,325.22,182.73,77.01,72.68301541
heart,0.71853104,221.9,0.639112299,70.30287503,234.42,366.79,126.57,57.76243484,0.889470689,0.946591588,0.480250427,0.639112299,1.187697161,0.570392068,1.159595481,0.661424065,0.523583788,263.55,146.77,66.27,72.17578426
heart,0.774592065,156.7,0.686469621,66.56931104,162.81,237.17,88.12,54.15146672,0.886233738,0.962471593,0.479669044,0.686469621,1.172367581,0.562348437,0.987290059,0.555201021,0.516795279,183.71,87,45.54,76.10619149
heart,0.800154092,340.07,0.733440013,60.15114146,371.26,506.19,191.04,48.33576164,0.91662346,0.915988795,0.471668765,0.733440013,1.191019496,0.561766695,1.121963987,0.630282001,0.533919598,405.03,214.34,102,71.68804729
heart,0.835822785,108.07,0.767468354,63.7975755,121.26,158,59.03,50.89016683,0.918218991,0.891225466,0.446993791,0.767468354,1.22198575,0.546220043,1.119261393,0.611363005,0.525495511,132.06,66.07,31.02,72.31889951
heart,0.806931818,304,0.746090909,68.18071758,328.28,440,170,57.09837328,0.924602169,0.926038747,0.478805802,0.746090909,1.167927632,0.559210526,1.119352941,0.625953947,0.517705882,355.05,190.29,88.01,72.84250656
heart,0.758766615,337.01,0.645550978,64.02795913,346.28,536.41,188,50.94415221,0.850789907,0.973229756,0.461905113,0.645550978,1.20770897,0.557846948,1.056382979,0.589300021,0.521329787,407.01,198.6,98.01,72.15441376
heart,0.767927905,101.08,0.671353701,66.57568861,105.04,156.46,58.03,52.69605172,0.874240533,0.962300076,0.482979609,0.671353701,1.188662446,0.574099723,1.046872307,0.601009102,0.517318628,120.15,60.75,30.02,72.7261018
heart,0.781078252,152.03,0.680493763,66.39545679,156.01,229.26,85.02,53.03421269,0.871223544,0.974488815,0.474786396,0.680493763,1.177859633,0.559231731,1.06680781,0.596592778,0.506351447,179.07,90.7,43.05,72.7753147
heart,0.779102357,168.19,0.715825208,64.41834639,181.34,253.33,95.13,52.51538625,0.918781983,0.927484284,0.481988144,0.715825208,1.173494262,0.565610322,1.118469463,0.632617873,0.537054557,197.37,106.4,51.09,75.00037763
heart,0.763997304,228.14,0.70379626,67.46648935,250.65,356.14,130.06,54.80943817,0.921202543,0.910193497,0.478003602,0.70379626,1.192644867,0.570088542,1.125941873,0.641886561,0.523066277,272.09,146.44,68.03,73.03924952
heart,0.795961949,138,0.700931858,64.78536588,144.42,206.04,75,53.89558019,0.880609756,0.955546323,0.457317073,0.700931858,1.188405797,0.543478261,1.139333333,0.619202899,0.52,164,85.45,39,73.15081896
heart,0.799876212,190.02,0.695000344,54.13457016,202.12,290.82,103,42.63397024,0.868884877,0.940134574,0.44278222,0.695000344,1.224186928,0.542048205,1.023495146,0.554783707,0.514660194,232.62,105.42,53.01,69.4884773
heart,0.754776475,270.05,0.707502219,68.18616606,302.91,428.14,156.01,54.00483238,0.937366548,0.891518933,0.482778895,0.707502219,1.196630254,0.577707832,1.106403436,0.63917793,0.52573553,323.15,172.61,82.02,73.29528611
heart,0.799467588,226.8,0.703010393,69.14170504,248.24,353.11,122.69,57.63730312,0.879348211,0.913631969,0.434608572,0.703010393,1.244708995,0.540961199,1.301410058,0.704012346,0.515852963,282.3,159.67,63.29,67.58181072
heart,0.736131008,209.24,0.670655319,59.65816566,238.76,356.01,119.15,42.9348279,0.911054298,0.8763612,0.454649521,0.670655319,1.252485184,0.569441789,1.074611834,0.611928885,0.528829207,262.07,128.04,63.01,71.47203863
heart,0.754208594,134.06,0.672468883,59.40751966,141.01,209.69,75.03,48.61698849,0.891621878,0.950712715,0.474423016,0.672468883,1.179695659,0.559674772,1.114220978,0.623601373,0.520458483,158.15,83.6,39.05,74.53260013
heart,0.730433131,99.13,0.65248227,61.65372993,103.04,157.92,55.04,51.50045924,0.893281318,0.962053571,0.47715648,0.65248227,1.163623525,0.555230505,1.053415698,0.58488853,0.509084302,115.35,57.98,28.02,74.15175968
heart,0.777475308,189.65,0.713188846,64.85336032,204.35,286.53,106.07,52.86743013,0.917313821,0.928064595,0.476141312,0.713188846,1.17463749,0.559293435,1.148298294,0.642235697,0.51466013,222.77,121.8,54.59,74.38706773
heart,0.811712159,281.11,0.781439206,64.30995,314.92,403,158.03,51.31759697,0.962704818,0.8926394,0.483094889,0.781439206,1.163672584,0.562164277,1.106878441,0.622247519,0.519015377,327.12,174.92,82.02,75.75838618
heart,0.789740547,125.26,0.719348401,63.24573889,133.36,185.39,70.18,52.79690059,0.910866744,0.939262148,0.479338843,0.719348401,1.168848795,0.560274629,1.131376461,0.633881526,0.527928185,146.41,79.4,37.05,74.38140261
heart,0.814574381,226.37,0.721038676,69.94499636,236.58,328.11,125.1,58.63506389,0.885172298,0.956843351,0.468066001,0.721038676,1.180677652,0.552635066,1.167146283,0.645005964,0.52813749,267.27,146.01,66.07,72.21692552
heart,0.813051535,153.08,0.721364278,66.65578291,163.49,226.64,83.01,55.55012994,0.887230694,0.936326381,0.450480274,0.721364278,1.203749673,0.542265482,1.173954945,0.636595244,0.530177087,184.27,97.45,44.01,73.12837423
heart,0.740955579,81.1,0.682720195,64.30962559,89.45,131.02,47.04,50.01930051,0.921405027,0.906651761,0.484548826,0.682720195,1.197040691,0.580024661,1.039965986,0.603205919,0.531887755,97.08,48.92,25.02,72.57013718
heart,0.704916957,90.27,0.66480667,62.80027833,101.27,152.33,53.15,48.76403486,0.943099274,0.891379481,0.494971131,0.66480667,1.189542484,0.588789188,1.117591722,0.658025922,0.509313264,107.38,59.4,27.07,74.23798339
heart,0.729054878,202.04,0.684481707,62.06677769,224.51,328,115.04,50.41256225,0.938861707,0.899915371,0.481077238,0.684481707,1.183577509,0.5693922,1.136387344,0.647050089,0.521818498,239.13,130.73,60.03,73.25638546
heart,0.759172129,241.34,0.657168535,66.74468512,248.62,378.32,138.76,51.99722389,0.865638383,0.970718365,0.48313081,0.657168535,1.19006381,0.574956493,1.050230614,0.603836911,0.531997694,287.21,145.73,73.82,73.75813248
heart,0.768899582,152.07,0.66442953,55.28513882,157.41,236.91,82.49,44.96992348,0.864130435,0.966075853,0.452843654,0.66442953,1.197869402,0.542447557,1.102800339,0.59821135,0.526366832,182.16,90.97,43.42,71.72051116
heart,0.781698365,156.71,0.672756089,52.82857577,161.3,239.76,85.15,43.81706941,0.86063387,0.971543707,0.45432718,0.672756089,1.195967073,0.543360347,1.115678215,0.606215302,0.521197886,187.42,95,44.38,73.66395711
heart,0.736438524,142,0.670668653,68.17027333,153.06,228.22,81.01,53.94610242,0.910691974,0.927740755,0.482001547,0.670668653,1.183591549,0.570492958,1.168250833,0.666478873,0.518454512,168.07,94.64,42,74.25902821
heart,0.748075329,209.06,0.688351297,72.69756633,232.47,337.72,122,58.00767913,0.920163078,0.899298834,0.48290057,0.688351297,1.208456902,0.583564527,1.151065574,0.671721037,0.524672131,252.64,140.43,64.01,70.98296604
heart,0.770154202,127.32,0.723341202,58.03692022,144.01,199.09,72.34,45.73922735,0.93921607,0.88410527,0.471792865,0.723341202,1.204288407,0.568174678,1.134089024,0.644360666,0.541885541,153.33,82.04,39.2,73.16860357
heart,0.750555144,183.21,0.677346586,74.26818012,192.17,283.71,104.58,62.75895878,0.902460787,0.953374616,0.49112426,0.677346586,1.162272802,0.57082037,1.092369478,0.62354675,0.517785427,212.94,114.24,54.15,75.667034
