Classes,Ratio R2,Jawline Width D5,Ratio R3,angle A1,Forehead width D2,face length D3,chin_width D6,angle A2,Ratio R1,Ratio R8,Ratio R7,Ratio R3,Ratio R4,Ratio R5,Ratio R6,Ratio R9,Ratio R10,cheekbone width D1,jawline length D4,chin shape D7,angle A3
heart,0.772989142,180.19,0.719181623,61.67136441,194.74,270.78,101.61,50.02570233,0.93039033,0.925284995,0.4854522,0.719181623,1.161607192,0.563904767,1.030311977,0.580997836,0.521110127,209.31,104.69,52.95,76.38060464
heart,0.815067029,222.18,0.733105323,68.86698673,240.07,327.47,121.02,58.02668128,0.899441759,0.925480068,0.453411262,0.733105323,1.201323251,0.544693492,1.237894563,0.674273112,0.521153528,266.91,149.81,63.07,71.23576871
heart,0.833128727,78.01,0.763328657,63.02921918,87.05,114.04,42.01,52.81615602,0.916219345,0.896151637,0.442163983,0.763328657,1.217920779,0.538520702,1.142823137,0.615433919,0.523684837,95.01,48.01,22,70.04704597
heart,0.786529984,121,0.677643809,72.31921958,127.58,188.27,68,60.13953552,0.861561318,0.948424518,0.459211237,0.677643809,1.223801653,0.561983471,1.191029412,0.669338843,0.514705882,148.08,80.99,35,69.21190893
heart,0.731763394,176.03,0.675259528,62.42999738,193.84,287.06,101,49.28245905,0.922783966,0.908120099,0.480815005,0.675259528,1.193319321,0.573765835,1.170891089,0.671817304,0.524752475,210.06,118.26,53,74.599829
heart,0.755627329,124.49,0.691826087,61.05056642,139.23,201.25,71.18,46.68382148,0.9155652,0.894132012,0.468073913,0.691826087,1.221543899,0.571772833,1.059988761,0.606072777,0.535543692,152.07,75.45,38.12,72.83539353
heart,0.779595517,102.04,0.709905964,64.87547007,110.22,155.26,56.04,54.67149635,0.910608063,0.925784794,0.462987442,0.709905964,1.18620149,0.549196394,1.178443969,0.647197178,0.517844397,121.04,66.04,29.02,70.25900573
heart,0.815438978,74.03,0.752468968,58.75753096,83.05,110.37,42.01,45.85012229,0.922777778,0.891390728,0.466777778,0.752468968,1.215723355,0.567472646,1.048559867,0.595029042,0.523684837,90,44.05,22,70.01689348
heart,0.783963603,139.29,0.739102784,65.49927075,151.08,204.41,79.16,54.07808448,0.942776911,0.921961875,0.493978159,0.739102784,1.150477421,0.568310719,1.135548257,0.645344246,0.519327943,160.25,89.89,41.11,76.39808501
heart,0.809459307,120.27,0.743255446,68.14392373,131.69,177.18,68.12,54.92225731,0.918212244,0.913281191,0.474968624,0.743255446,1.192483579,0.566392284,1.057105109,0.598736177,0.514679977,143.42,72.01,35.06,72.27676338
heart,0.788590604,92.54,0.743181494,55.16734265,104.09,140.06,52.47,45.23939601,0.942417383,0.889038332,0.475056587,0.743181494,1.19353793,0.566998055,1.105393558,0.626755997,0.520106728,110.45,58,27.29,71.23513671
heart,0.774813459,93.09,0.736167816,64.13910731,104.58,142.06,52.04,50.79845506,0.950122649,0.890131956,0.472790043,0.736167816,1.182404125,0.559028897,1.117217525,0.62455688,0.519215988,110.07,58.14,27.02,74.34700034
heart,0.779307632,84.05,0.716365067,63.99593054,91.05,127.1,48.04,52.578989,0.919232711,0.923119165,0.485007572,0.716365067,1.178465199,0.571564545,1.120316403,0.640333135,0.520815987,99.05,53.82,25.02,74.63297562
heart,0.786608874,300.28,0.716494958,70.31697456,328.95,459.11,167.19,58.56030042,0.910865592,0.912843897,0.462950656,0.716494958,1.202677501,0.556780338,1.141814702,0.635739976,0.514683893,361.14,190.9,86.05,71.30417585
heart,0.769434389,286.03,0.715090498,64.41967446,316.07,442,162,51.61774336,0.929371637,0.904957763,0.476344497,0.715090498,1.189001154,0.566374157,1.120185185,0.634443939,0.530864198,340.09,181.47,86,72.96211979
heart,0.763817399,152,0.700278458,68.99221661,165.98,237.02,86,57.2073841,0.916813964,0.915772985,0.475033142,0.700278458,1.191052632,0.565789474,1.138837209,0.644342105,0.523255814,181.04,97.94,45,70.65055562
heart,0.817677946,192.68,0.757074096,63.49848723,207.62,274.24,108.67,51.76429218,0.925882983,0.928041614,0.484614699,0.757074096,1.163794893,0.563992111,1.093862151,0.616929624,0.532529677,224.24,118.87,57.87,74.62605986
heart,0.795986622,152.08,0.677236357,72.14377674,159.97,236.21,82.15,61.366927,0.850813743,0.950678252,0.436921604,0.677236357,1.236322988,0.540176223,1.250517346,0.675499737,0.524041388,188.02,102.73,43.05,68.27899223
heart,0.771149859,192.75,0.695149723,60.84968117,204.52,294.21,108.37,48.49060744,0.901445698,0.942450616,0.477653385,0.695149723,1.177068742,0.562230869,1.109532158,0.62381323,0.527267694,226.88,120.24,57.14,73.81356218
heart,0.787387847,157.08,0.723646724,65.6281834,170.18,235.17,88.02,53.71303633,0.919047362,0.923022682,0.475346978,0.723646724,1.178826076,0.560351413,1.132015451,0.634326458,0.534423995,185.17,99.64,47.04,74.02815405
heart,0.774872152,161.11,0.713621571,67.02989927,184.2,258.12,89.05,55.71204152,0.920953952,0.874647123,0.445227739,0.713621571,1.241449941,0.55272795,1.211791129,0.669790826,0.516676025,200.01,107.91,46.01,68.0298777
heart,0.722417458,136.13,0.681157534,68.86770043,157,230.49,78.03,54.78558889,0.942886313,0.867070064,0.468620503,0.681157534,1.22316903,0.573202086,1.202870691,0.689487989,0.538895297,166.51,93.86,42.05,69.57672453
heart,0.732934068,119.15,0.678397286,62.75535051,128,188.68,68.07,49.50757827,0.925591149,0.930859375,0.492226481,0.678397286,1.160637851,0.571296685,1.084471867,0.619555183,0.529748788,138.29,73.82,36.06,76.74057371
heart,0.77091849,107.17,0.710687665,61.96371911,118.23,166.36,60.07,50.52687028,0.921871345,0.906453523,0.468382066,0.710687665,1.196696837,0.560511337,1.165973031,0.653541103,0.533710671,128.25,70.04,32.06,73.54866407
heart,0.775221573,138.52,0.710682632,61.63471754,150.75,212.12,79.31,47.86217663,0.91674775,0.918872305,0.482303576,0.710682632,1.187120993,0.5725527,1.052200227,0.602440081,0.530954482,164.44,83.45,42.11,73.01081781
heart,0.777814981,135.48,0.711566058,65.47227952,148.76,209.06,74.81,54.97771262,0.914826886,0.910728691,0.460057807,0.711566058,1.20025096,0.552184824,1.219623045,0.673457337,0.52746959,162.61,91.24,39.46,72.60165301
heart,0.777079634,233.34,0.693102035,54.87468657,253.71,366.05,129.76,40.98335365,0.891931798,0.919711482,0.45617859,0.693102035,1.219036599,0.556098397,1.015027744,0.564455301,0.517802096,284.45,131.71,67.19,70.15472048
heart,0.854142875,115.43,0.771856363,65.55691766,121.66,157.62,61.29,57.72903051,0.903661888,0.948791715,0.455247716,0.771856363,1.166334575,0.530971151,1.129058574,0.599497531,0.524392234,134.63,69.2,32.14,73.14886275
heart,0.762164345,126.04,0.672521704,55.96985171,133.24,198.12,69.07,45.0578002,0.882384106,0.945962174,0.457417219,0.672521704,1.198032371,0.548000635,1.126827856,0.61750238,0.535833213,151,77.83,37.01,74.24431205
heart,0.803767287,111.45,0.710777301,65.09358566,119.24,167.76,60.3,55.77363819,0.884307327,0.934669574,0.447196678,0.710777301,1.209869897,0.541049798,1.142288557,0.618034993,0.51641791,134.84,68.88,31.14,71.08407527
heart,0.809026608,122.04,0.73896935,67.0509207,131.64,178.14,68.03,55.23215809,0.913405495,0.927073838,0.472037191,0.73896935,1.180924287,0.557440184,1.123033956,0.626024254,0.51536087,144.12,76.4,35.06,74.93367248
heart,0.798239929,204.01,0.752396221,64.36318366,220.58,293.17,115,53.96807611,0.942569011,0.924879862,0.491410991,0.752396221,1.147100632,0.563697858,1.070869565,0.60364688,0.530521739,234.02,123.15,61.01,76.23435427
heart,0.754979841,160.25,0.702965949,62.70868669,176.1,250.51,91.27,50.42834135,0.931105589,0.909994321,0.482578121,0.702965949,1.180218409,0.569547582,1.176947518,0.670327613,0.538621672,189.13,107.42,49.16,73.0276044
heart,0.779162103,192.26,0.70351862,67.69807793,205.54,292.16,107.12,56.37313477,0.902916886,0.935389705,0.470567563,0.70351862,1.184021637,0.557162176,1.148898432,0.64012275,0.524085138,227.64,123.07,56.14,73.87504542
heart,0.729643359,197.12,0.677489454,62.40270413,212,312.92,114.04,49.01597635,0.928521374,0.929811321,0.499474422,0.677489454,1.158279221,0.578530844,1.059277447,0.612824675,0.526394248,228.32,120.8,60.03,76.31354327
heart,0.794320756,243.19,0.721258494,55.5736498,261.11,362.02,133.09,44.76938673,0.908019196,0.931369921,0.46282515,0.721258494,1.182449936,0.547267569,1.057404764,0.578683334,0.514463897,287.56,140.73,68.47,74.48191486
